"pathway","pval","padj","overlap","size","overlapGenes"
"C3_Proteolysis proteasome: E3: F box",2.71703356291927e-36,5.48840779709692e-34,71,445,"C24H12.1;C33E10.8;C53A3.1;F55C9.11;FBXA-10;FBXA-102;FBXA-112;FBXA-114;FBXA-116;FBXA-120;FBXA-131;FBXA-134;FBXA-136;FBXA-14;FBXA-143;FBXA-151;FBXA-152;FBXA-155;FBXA-156;FBXA-157;FBXA-158;FBXA-163;FBXA-164;FBXA-165;FBXA-166;FBXA-172;FBXA-185;FBXA-188;FBXA-192;FBXA-197;FBXA-218;FBXA-221;FBXA-35;FBXA-40;FBXA-41;FBXA-43;FBXA-55;FBXA-59;FBXA-60;FBXA-76;FBXA-77;FBXA-78;FBXA-95;FBXB-105;FBXB-115;FBXB-2;FBXB-20;FBXB-24;FBXB-26;FBXB-37;FBXB-38;FBXB-46;FBXB-48;FBXB-63;FBXB-7;FBXB-71;FBXB-72;FBXB-81;FBXB-82;FBXB-84;FBXB-99;FBXC-17;FBXC-19;FBXC-22;FBXC-23;FBXC-34;FBXC-9;SDZ-33;SRH-208;T10C6.10;Y46G5A.39"
"C3_Stress response: C-type Lectin",1.36337538215639e-20,1.37700913597796e-18,40,257,"CLEC-10;CLEC-100;CLEC-114;CLEC-116;CLEC-119;CLEC-121;CLEC-122;CLEC-13;CLEC-143;CLEC-148;CLEC-164;CLEC-167;CLEC-168;CLEC-174;CLEC-179;CLEC-18;CLEC-189;CLEC-193;CLEC-194;CLEC-195;CLEC-2;CLEC-207;CLEC-22;CLEC-233;CLEC-247;CLEC-248;CLEC-249;CLEC-255;CLEC-256;CLEC-257;CLEC-258;CLEC-31;CLEC-40;CLEC-59;CLEC-64;CLEC-67;CLEC-72;CLEC-94;F17B5.10;K04H8.2"
"C3_Transmembrane protein: seven transmembrane receptor: srh",8.21771160893998e-13,5.53325915001959e-11,28,216,"SRH-112;SRH-113;SRH-120;SRH-123;SRH-145;SRH-149;SRH-172;SRH-181;SRH-217;SRH-22;SRH-245;SRH-246;SRH-251;SRH-255;SRH-28;SRH-283;SRH-284;SRH-289;SRH-290;SRH-291;SRH-299;SRH-303;SRH-304;SRH-45;SRH-48;SRH-59;SRH-67;SRH-74"
"C3_Transmembrane protein: seven transmembrane receptor: srz",2.30922485407308e-09,1.16615855130691e-07,13,61,"SRZ-10;SRZ-12;SRZ-13;SRZ-14;SRZ-18;SRZ-23;SRZ-31;SRZ-54;SRZ-59;SRZ-71;SRZ-75;SRZ-90;SRZ-94"
"C3_Transmembrane protein: seven transmembrane receptor: srbc",1.36231314758352e-08,5.50374511623743e-07,13,70,"SRBC-38;SRBC-40;SRBC-56;SRBC-59;SRBC-6;SRBC-62;SRBC-68;SRBC-71;SRBC-76;SRBC-78;SRBC-79;SRBC-81;SRBC-82"
"C3_Transmembrane protein: seven transmembrane receptor: sri ",1.55544138705737e-06,5.2366526697598e-05,10,59,"SRI-14;SRI-25;SRI-31;SRI-34;SRI-38;SRI-40;SRI-43;SRI-57;SRI-77;SRI-78"
"C3_Transmembrane protein: seven transmembrane receptor: srj",4.78211681064149e-06,0.000137998227964226,8,40,"SRI-74;SRJ-1;SRJ-20;SRJ-25;SRJ-4;SRJ-45;SRJ-52;SRJ-53"
"C3_Transmembrane protein: seven transmembrane receptor: str",6.14258282954854e-06,0.00014517672832269,17,193,"STR-101;STR-103;STR-109;STR-134;STR-148;STR-185;STR-198;STR-208;STR-209;STR-214;STR-226;STR-228;STR-243;STR-257;STR-60;STR-86;STR-93"
"C3_Transmembrane protein: seven transmembrane receptor: srx",6.96086288543163e-06,0.00014517672832269,12,101,"SRX-108;SRX-114;SRX-121;SRX-122;SRX-24;SRX-31;SRX-33;SRX-42;SRX-50;SRX-87;SRX-88;SRX-90"
"C3_Transcription factor: NHR",7.186966748648e-06,0.00014517672832269,20,259,"NHR-123;NHR-147;NHR-174;NHR-187;NHR-188;NHR-196;NHR-198;NHR-219;NHR-223;NHR-231;NHR-241;NHR-242;NHR-248;NHR-253;NHR-261;NHR-264;NHR-50;NHR-72;NHR-73;NHR-81"
