"pathway","pval","padj","overlap","size","overlapGenes"
"C2_Transmembrane protein: seven transmembrane receptor",1.47874721108491e-48,1.95194631863208e-46,147,1461,"DMSR-3;B0244.7;C06B3.1;C41G6.12;F27E5.8;F59B1.6;R10E8.5;SDZ-18;T26H8.5;Y116A8C.40;Y55F3C.10;Y70C5A.4;SRA-12;SRA-20;SRA-8;SRB-11;SRB-3;SRB-5;SRBC-38;SRBC-40;SRBC-56;SRBC-59;SRBC-6;SRBC-62;SRBC-68;SRBC-71;SRBC-76;SRBC-78;SRBC-79;SRBC-81;SRBC-82;SRD-27;SRE-26;SRH-112;SRH-113;SRH-120;SRH-123;SRH-145;SRH-149;SRH-172;SRH-181;SRH-217;SRH-22;SRH-245;SRH-246;SRH-251;SRH-255;SRH-28;SRH-283;SRH-284;SRH-289;SRH-290;SRH-291;SRH-299;SRH-303;SRH-304;SRH-45;SRH-48;SRH-59;SRH-67;SRH-74;SRI-14;SRI-25;SRI-31;SRI-34;SRI-38;SRI-40;SRI-43;SRI-57;SRI-77;SRI-78;SRI-74;SRJ-1;SRJ-20;SRJ-25;SRJ-4;SRJ-45;SRJ-52;SRJ-53;SRR-9;SRSX-37;SRSX-39;SRT-11;SRT-17;SRT-37;SRT-4;SRU-20;SRU-3;SRU-31;SRU-35;SRV-22;SRV-28;SRW-107;SRW-109;SRW-11;SRW-122;SRW-14;SRW-20;SRW-24;SRW-36;SRW-42;SRW-54;SRW-63;SRW-83;SRX-108;SRX-114;SRX-121;SRX-122;SRX-24;SRX-31;SRX-33;SRX-42;SRX-50;SRX-87;SRX-88;SRX-90;SRXA-19;SRZ-10;SRZ-12;SRZ-13;SRZ-14;SRZ-18;SRZ-23;SRZ-31;SRZ-54;SRZ-59;SRZ-71;SRZ-75;SRZ-90;SRZ-94;STR-101;STR-103;STR-109;STR-134;STR-148;STR-185;STR-198;STR-208;STR-209;STR-214;STR-226;STR-228;STR-243;STR-257;STR-60;STR-86;STR-93"
"C2_Proteolysis proteasome: E3",5.96118544228573e-36,3.93438239190858e-34,81,598,"C24H12.1;C33E10.8;C53A3.1;F55C9.11;FBXA-10;FBXA-102;FBXA-112;FBXA-114;FBXA-116;FBXA-120;FBXA-131;FBXA-134;FBXA-136;FBXA-14;FBXA-143;FBXA-151;FBXA-152;FBXA-155;FBXA-156;FBXA-157;FBXA-158;FBXA-163;FBXA-164;FBXA-165;FBXA-166;FBXA-172;FBXA-185;FBXA-188;FBXA-192;FBXA-197;FBXA-218;FBXA-221;FBXA-35;FBXA-40;FBXA-41;FBXA-43;FBXA-55;FBXA-59;FBXA-60;FBXA-76;FBXA-77;FBXA-78;FBXA-95;FBXB-105;FBXB-115;FBXB-2;FBXB-20;FBXB-24;FBXB-26;FBXB-37;FBXB-38;FBXB-46;FBXB-48;FBXB-63;FBXB-7;FBXB-71;FBXB-72;FBXB-81;FBXB-82;FBXB-84;FBXB-99;FBXC-17;FBXC-19;FBXC-22;FBXC-23;FBXC-34;FBXC-9;SDZ-33;SRH-208;T10C6.10;Y46G5A.39;HECW-1;C48D1.1;UBC-21;Y54E10A.11;PAR-2;Y45F10B.8;Y60A9.3;SKR-4;SKR-6;SKR-9"
"C2_Stress response: C-type Lectin",1.36337538215639e-20,5.99885168148813e-19,40,257,"CLEC-10;CLEC-100;CLEC-114;CLEC-116;CLEC-119;CLEC-121;CLEC-122;CLEC-13;CLEC-143;CLEC-148;CLEC-164;CLEC-167;CLEC-168;CLEC-174;CLEC-179;CLEC-18;CLEC-189;CLEC-193;CLEC-194;CLEC-195;CLEC-2;CLEC-207;CLEC-22;CLEC-233;CLEC-247;CLEC-248;CLEC-249;CLEC-255;CLEC-256;CLEC-257;CLEC-258;CLEC-31;CLEC-40;CLEC-59;CLEC-64;CLEC-67;CLEC-72;CLEC-94;F17B5.10;K04H8.2"
"C2_Proteolysis general: cysteine",5.81429705624736e-06,0.000189735922164307,8,41,"CLP-3;CLP-6;CLP-8;TRA-3;CTSA-2;Y51A2D.1;C49A9.4;CLPR-2"
"C2_Transcription factor: NHR",7.186966748648e-06,0.000189735922164307,20,259,"NHR-123;NHR-147;NHR-174;NHR-187;NHR-188;NHR-196;NHR-198;NHR-219;NHR-223;NHR-231;NHR-241;NHR-242;NHR-248;NHR-253;NHR-261;NHR-264;NHR-50;NHR-72;NHR-73;NHR-81"
"C2_Proteolysis general: metallopeptidase",0.00097154600413584,0.0213740120909885,10,124,"F39E9.6;NAS-18;NAS-21;NEP-10;NEP-13;NEP-3;NEP-4;R03G8.6;Y47C4A.1;Y53F4B.20"
"C2_Metabolism: lipid",0.00130241217964408,0.0245597725304312,25,523,"ACOX-1.1;NPA-1;VIT-3;VIT-4;ACS-15;POD-2;ACL-7;LIPS-11;LIPS-12;OAC-12;OAC-25;OAC-28;OAC-38;OAC-43;OAC-54;CKB-3;MBOA-6;SCRM-7;Y53G8B.2;ZK856.5;F02C12.2;F12E12.11;STDH-2;W03F9.9;Y7A5A.1"
"C2_Extracellular material: chitinase",0.00222497222452516,0.0367120417046652,5,38,"CHIL-18;CHIL-21;LMD-4;LMD-5;R09D1.14"
"C2_Stress response: detoxification",0.00415379519417084,0.054703473246993,10,151,"CYP-13A11;CYP-13A5;CYP-33C5;CYP-33D3;CYP-33E2;CYP-34A8;CYP-35A4;F39G3.4;UGT-14;UGT-32"
"C2_Cytoskeleton: microtubule",0.00432978408031136,0.054703473246993,9,128,"EBP-3;RMD-6;B0218.5;F26A1.4;K09C6.8;R13H9.5;TTBK-2;Y19D2B.1;TBCC-1"
